KOD INDEKSU	NAZWA INDEKSU	"KMS
(magazyn)"	CENA	WARTOŚĆ
TM-45-00-4253	PRZEGUB D16X35 101787	1.0	48.22999954223633	48.22999954223633
TM-45-00-4254	ŚRUBA RZYMSKA SW17 L=316 209.060.2026	1.0	210.47999572753906	210.47999572753906
TM-45-00-1670	GŁOWICA WIBRACYJNA AU 27P 07011003 Schelling	2.0	253.3000030517578	506.6000061035156
TM-45-00-1671	GŁOWICA WIBRACYJNA AU 27L 07021003 Schelling	9.0	259.55999755859375	2336.0400390625
TM-45-00-3687	OSŁONA 11730864/209.055.2015	2.0	1459.050048828125	2918.10009765625
TM-15-00-0727	PASEK ZEBATY VACUM 21700MM 11482653	2.0	11731.0400390625	23462.080078125
TM-20-00-0134	FARTUCH 2LRFV 904 M 15000x130mm	1.0	687.27001953125	687.27001953125
TM-35-00-0335	KOŁO ZĘBATE Z=54 M=3 11016676 209.040.2059 SCHELLING	4.0	617.4400024414062	2469.77001953125
TM-35-00-0619	KOŁO PASOWE Z=48 M=8 B=30 209.015.2001 metform	4.0	256.79998779296875	1027.199951171875
TM-45-00-4103	SPRĘŻYNA 2X25X27X195 104214 105863	2.0	100.91000366210938	201.82000732421875
TM-45-00-4104	SPRĘŻYNA 2,5X25,5X135 104529	4.0	34.27000045776367	137.0800018310547
TM-45-00-4105	SPRĘŻYNA 4X25X28X41 106312	4.0	55.18000030517578	220.72000122070312
TM-25-00-0077	PRZYSSAWKA SPU 210 NBR-55 G1/2-IG  	10.0	531.780029296875	5317.7998046875
TM-15-00-0723	PAS ZĘBATY HTD 11014700/106689	1.0	35.869998931884766	35.869998931884766
TM-35-00-0739	WRZECIONO 50X203 217.050.2001 SCHELLING BF	1.0	4681.5	4681.5
TM-35-00-0763	KOŁO ZĘBATE IMA 11018845 209.152.2007 Schelling 	3.0	1592.719970703125	4778.14990234375
TM-45-00-4054	ZATYCZKA 40836/107511	100.0	1.7699999809265137	177.0
TM-05-00-1727	OBUDOWA ŁOŻYSKA 311.014.2527 SChelling	1.0	2254.409912109375	2254.409912109375
TM-45-00-0378	CZĘŚĆ GÓRNA ZACISKU	6.0	282.739990234375	1696.43994140625
TM-45-00-2729	ZAMOCOWANIE I11041059 311.001.2355 SCHELLING	1.0	969.6500244140625	969.6500244140625
TM-45-00-2730	PRĘT PŁASKI 11041062 209.670.2004 75x20x15	1.0	102.97000122070312	102.97000122070312
TM-45-00-2732	ZAPADKA 311.001.2354 11041058 SCHELLING	1.0	969.9500122070312	969.9500122070312
TM-45-00-3144	PŁYTKA MOCUJĄCA 311.003.2171/84669280 Schelling	2.0	378.3500061035156	756.7000122070312
TM-45-00-4290	BOLEC ROLKI 121.035.2002 10869782	100.0	14.220000267028809	1422.0
TM-45-00-2198	JEDNOSTKA ROLKOWA D65/10 121.035.9001 schelling bf	99.0	60.400001525878906	5979.60009765625
TM-45-00-0156	Profil aluminiowy AS-000175 L=1000 MM 154.066.2404 SCHELLING 	10.0	129.3000030517578	1293.0
TM-45-00-0887	WKŁADKA ŚLIZGOWA 2X15X1000	16.0	224.08999633789062	3585.43994140625
TM-45-00-0888	WKŁADKA ŚLIZGOWA 2X11X1000	8.0	328.3399963378906	2626.719970703125
TM-15-00-0641	PAS PŁASKI 80X10000 2LRFV 904M OTWARTY SCHELLING FARTUCH 	4.0	186.14999389648438	744.5999755859375
TM-20-00-0127	TAŚMA 0,7x50000x130 1LRAFP 02/G2M WHM SCHELLING	1.0	938.4199829101562	938.4199829101562
TM-45-00-3151	NAKŁADKA IMA 11017811/209.152.2006	2.0	183.6300048828125	367.260009765625
TM-45-00-3388	HAMULEC 406.040.9048	2.0	1874.3399658203125	3748.679931640625
TM-45-00-4083	WKŁADKA 446.390.2003	6.0	105.51000213623047	633.0800170898438
TM-10-15-1085	RURKA VACUM SCHELLING	7.0	182.0	1274.0
TM-35-00-0520	KOŁO ZĘBATE Z32 M2 B16 30 09411500	2.0	446.07000732421875	892.1400146484375
TM-35-00-0544	KOŁO PASOWE PODCINACZA 209.060.2035 5m z82 15 	1.0	2579.320068359375	2579.320068359375
TM-35-00-0545	KOŁO ZĘBATE PODCINACZA Z36 5M 15 12032610 Schelling 	11.0	258.04998779296875	2838.52001953125
TM-35-00-0762	KOŁO ZĘBATE IMA 11018891 209.152.2007 Z45 M2 9 SCHELLING	4.0	493.6400146484375	1974.56005859375
TM-35-00-0857	KOŁO PASOWE 36 3M 209.050.2023 SCHELLING	5.0	55.0	275.0
TM-35-00-0869	KOŁO PAS. Z72 5M 15  446.070.2060/11019196 	2.0	981.52001953125	1963.0400390625
TM-35-00-0870	SPRZĘGŁO DSK 20.32SPIETH 100671/11015838	3.0	700.1400146484375	2100.419921875
TM-45-00-1238	SPRZĘGŁO 104596 CAL5A-F30/55 n21T drive	4.0	43.79999923706055	175.1999969482422
TM-45-00-3177	WYRZUTNIK IMA 11018219/209.060.2021 PODCINAK SCHELLING	2.0	599.4099731445312	1198.8199462890625
TM-15-00-0668	PAS 5X150 L=9,0M 103719/10850563 (szt)	1.0	1460.4000244140625	1460.4000244140625
TM-45-00-2670	TARCZA 11018159	4.0	863.0800170898438	3452.320068359375
TM-45-00-3275	ROLKA STOŁU Q 311.020.9336	53.0	94.91000366210938	5030.18994140625
TM-15-00-0233	PAS ZĘBATY T8 50 Schelling BF 	6.099999904632568	351.3800048828125	2143.409912109375
TM-15-00-0558	PAS ZĘBATY 8M 50 30mb SCHELLING BF DOPYCHACZ	1.0	5670.0	5670.0
TM-45-00-4084	MOCOWANIE WAŁKA 331.018.2419	2.0	925.780029296875	1851.56005859375
TM-55-00-0517	ŚRUBA OBROTOWA 12003581/484.590.2042	10.0	111.37000274658203	1113.699951171875
TM-55-00-0518	ŚRUBA OBROTOWA 11991907/446.592.2002	10.0	165.9199981689453	1659.199951171875
TM-55-00-0519	NAKRĘTKA SZEŚCIOKĄTNA 22573/170412	10.0	1.7999999523162842	18.0
TM-55-00-0520	PODKŁADKA 22582/170072	10.0	2.450000047683716	24.5
TM-45-00-3199	TULEJA 10866357 ISBSF1 5015 TF 5015 SCHELLING	8.0	16.690000534057617	133.52000427246094
TM-45-00-3224	ROLKA KLRZ12X41X16-2RS-HLB INA DOBIJAKA 104509/11015709	12.0	344.510009765625	4134.1201171875
TM-45-00-3250	PROWADNICA DOBIJAKA 331.018.2420	4.0	882.2999877929688	3529.179931640625
TM-10-05-0372	ZAWÓR ZAB. BELKĘ DOCISKOWĄ 609.12 194765	17.0	376.8900146484375	6407.16015625
TM-10-05-0377	ZAWÓR SZYBKIEGO SPUSTU 602.12 194916	16.0	196.97999572753906	3151.679931640625
TM-25-00-0076	PRZYSSAWKA 10.01.01.01092 SCHMALZ SCHELLING	1.0	563.5700073242188	563.5700073242188
TM-45-00-3280	SPRĘŻYNA TALERZOWA 20X10,2X0,9 171084	176.0	1.3799999952316284	242.8800048828125
TM-45-00-3408	SPRĘŻYNA d3xDw23xLo108 NACISKOWA  SCHELLING 	27.0	6.699999809265137	180.89999389648438
TM-45-00-3409	SPRĘŻYNA d3xDw23xLo40 NACISKOWA 106312 SCHELLING	16.0	6.010000228881836	96.16000366210938
TM-05-00-1726	TULEJA PAP2515-P14 100444/00005696	1.0	4.489999771118164	4.489999771118164
TM-05-00-1846	SZYNA N1H25LCW-02PCZ L340 Schelling  NSK	2.0	410.0	820.0
TM-05-00-1847	SZYNA N1H25LCW-02PCZ L580 schelling	2.0	589.0	1178.0
TM-45-00-2042	DOLNA CZĘŚĆ ZACISKU 331.004.2333	17.0	365.0	6205.0
TM-45-00-2171	TULEJA D35/39x16 106742	8.0	25.059999465942383	200.47999572753906
TM-45-00-2172	TULEJA KOŁNIERZOWA D30/34x15 103699	8.0	15.020000457763672	120.16000366210938
TM-45-00-2205	ODBOJNIK  331.013.2538	8.0	1656.2900390625	13250.3203125
TM-45-00-2502	RAMIĘ ZACISKOWE 454.160.2020	4.0	523.3200073242188	2093.280029296875
TM-45-00-2503	TULEJA Z WIEŃCEM 106755	4.0	35.5099983215332	142.0399932861328
TM-45-00-2504	ŁĄCZNIK 454.160.2070	1.0	456.8299865722656	456.8299865722656
TM-45-00-3193	OSŁONA PIŁY 446.065.2008 Schelling	1.0	115.58000183105469	115.58000183105469
TM-45-00-3822	TULEJA D20/23X11 11027877 / 106527	2.0	5.329999923706055	10.65999984741211
TM-45-00-3823	TRZPIEŃ UCH D20X83 11411927/454.160.2047	8.0	46.25	370.0299987792969
TM-45-00-3867	PŁYTA ZDERZAKOWA 454.160.2080/11025354	4.0	405.2900085449219	1621.1600341796875
TM-45-00-4286	TRZPIEN UCHYLNY 11996856 454.160.2025	4.0	58.04999923706055	232.1999969482422
TM-45-00-0740	SANIE PROWADZĄCE SCHELLING 45660546	1.0	2372.77001953125	2372.77001953125
TM-45-00-0741	SANIE PROWADZĄCE SCHELLING 54180420	1.0	2278.570068359375	2278.570068359375
TM-45-00-1651	KLAMRA KOMPLETNA SCHELLING BF	1.0	14870.0595703125	14870.0595703125
TM-45-00-2482	CZĘŚĆ BOCZNA 454.162.2003	1.0	1889.81005859375	1889.81005859375
TM-45-00-3142	SANIE 154.533.2103/11037590 L=910 ŚLIZG WYRÓWNYWACZA	2.0	2090.2900390625	4180.580078125
TM-45-00-3237	PRĘT DOBIJAKA NA PILE POPRZECZNEJ 331.021.2411 Schelling	1.0	3268.5400390625	3268.5400390625
TM-45-00-3238	PRĘT DOBIJAKA NA PILE POPRZECZNEJ 331.021.2412 SCHELLING	1.0	947.989990234375	947.989990234375
TM-45-00-2307	PROFIL BELKI L-1000 446.443.2003 ALUMINIUM 11018309 SCHELLING 	4.0	264.30999755859375	1057.239990234375
TM-45-00-3220	PROFIL BELKI DOCISKOWEJ IMA 11015645 L=1000mm 000175	12.0	103.12000274658203	1237.43994140625
TM-45-00-3236	OSŁONA TARCZY PODCINACZA 446.070.2088 	1.0	3278.2099609375	3278.2099609375
TM-45-00-3239	PROFIL 11018992 446.441.2001 L=1320	2.0	368.5299987792969	737.0599975585938
TM-45-00-3686	SZCZOTKA 1000mm 11015337/101316	1.0	148.58999633789062	148.58999633789062
TM-15-00-0605	PAS WIELOROWKOWY 2080 Z11 11018134 Schelling	5.0	678.3800048828125	3391.89990234375
TM-05-00-1877	ELEMENT ŚLIZGOWY 121.010.2004/110315	40.0	29.239999771118164	1169.5999755859375
TM-45-00-1858	NAPINACZ 408.112.9051	4.0	1575.0799560546875	6300.31982421875
TM-45-00-3553	KULKA ¤6 101102/825 BLOKADA PIŁY FLNASZA	37.0	0.6100000143051147	22.579999923706055
TM-55-00-0478	ŚRUBA USTALAJĄCA M8x12/SW4/454 170919	25.0	1.059999942779541	26.600000381469727
TM-35-00-0671	SPRZĘGIEŁKO OLDHAM OL25 107820	4.0	99.19999694824219	396.79998779296875
TM-35-00-0595	KOŁO PASOWE 446.060.2007	3.0	562.4600219726562	1687.3699951171875
TM-35-00-0596	KOŁO PASOWE 446.060.2008	1.0	411.1199951171875	411.1199951171875
TM-45-00-2505	SPRĘŻYNA DOCISKOWA 106417	6.0	166.0800018310547	996.47998046875
TM-45-00-2698	DYSZA 10762593	247.0	15.380000114440918	3798.860107421875
TM-45-00-3007	ZAWIASA NIERDZ. GN. 237.3-NI-60-60-A-GS Elesa Schelling	3.0	97.26000213623047	291.7799987792969
TM-45-00-3318	ZGARNIACZ WRZECIONA PIŁY  11014716 149986 SCHELLING HF	3.0	267.69000244140625	803.0700073242188
TM-45-00-4270	TULEJA 35/45/29 446.060.2012	10.0	149.1699981689453	1491.699951171875
TM-05-00-0825	TULEJA ŚLIZGOWA DOBIJAKA 100531	14.0	28.729999542236328	402.2200012207031
TM-10-05-0730	ZAWÓR AHB-MD/MF/MV 157651/OT-FESTO011930	3.0	24.639999389648438	73.91999816894531
TM-35-00-0514	LISTWA ZĘBATA 311.014.2407 SCHELlING	4.0	460.95001220703125	1843.800048828125
TM-45-00-3143	LISTWA 154.526.2161/11037595	6.0	623.1400146484375	3738.840087890625
TM-45-00-3226	PAŁĄK 11015923/101110 IMA	112.0	10.609999656677246	1188.56005859375
TM-45-00-4292	ELEMNET ODCHYLAJ. 10x12x120 408.121.2009	8.0	198.75	1590.0
TM-45-00-3029	PŁYTA WYRÓWNAWCZA 321.046.2414	3.0	2456.469970703125	7369.419921875
TI-00-00-0122	FILC 17/10 120477 (M)	4.0	50.97999954223633	203.9199981689453
TM-45-00-2800	POKRYWA 11018217 IMA	1.0	593.9199829101562	593.9199829101562
TM-05-00-0506	OBUDOWA ŁOŻYSKA 36040102	17.0	40.650001525878906	691.030029296875
TM-05-00-0507	OBUDOWA ŁOŻYSKA 36040602 do łożyska LR5204 LR 204 	11.0	25.40999984741211	279.55999755859375
TM-45-00-2445	ZGARNIACZ ŁOŻYSKA LR D85 151.085.2201	4.0	62.59000015258789	250.36000061035156
TM-45-00-3147	ZGARNIACZ 10865375/36040602 IMA	18.0	27.579999923706055	496.44000244140625
TM-45-00-3403	SPZĘGŁO 30X60 RCK95 SCHELLING	4.0	71.19999694824219	284.79998779296875
TM-45-00-3671	KOŃCÓWKA SMAR. FORM C 10867007	30.0	3.440000057220459	103.30000305175781
TM-45-00-1763	BOLEC RYGLA 65601623	1.0	618.780029296875	618.780029296875
TM-45-00-1764	PŁOZA RYGLA 65601523	1.0	486.44000244140625	486.44000244140625
TM-45-00-1765	PROWADZENIE RYGLA 58210912	1.0	446.57000732421875	446.57000732421875
TM-45-00-4314	DŹWIGNIA 454.188.9001 11039651	2.0	98.66999816894531	197.33999633789062
TM-45-00-2461	SPRĘŻYNA TALERZOWA 50 101361 Schelling	32.0	6.579999923706055	210.39999389648438
TM-45-00-3227	SPRĘŻYNA 11428968/103625 IMA	1.0	29.020000457763672	29.020000457763672
TM-55-00-0491	PODKŁA SPR 11454994/250.471.2050 4x15x30	12.0	35.86000061035156	430.32000732421875
TM-35-00-0936	SPRZĘGŁ TLK500 40x80x125 dis 530 10869413/104309 tollok	2.0	1029.4000244140625	2058.800048828125
TM-45-00-2457	MOCOWANIE ALU CZUJNIKA PIŁY 446.010.2001	2.0	1020.72998046875	2041.4599609375
TM-45-00-3335	KĄTOWNIK MOCUJĄCY ŁAP 454.184.2013 Schelling	2.0	770.8699951171875	1541.739990234375
TM-45-00-3336	KOSTKA MOCUJĄCA 20X25X80 454.184.2011 Schelling	2.0	186.0500030517578	372.1000061035156
TM-45-00-3688	MOCOWANIE WAŁKA 11036023/209.060.2014	1.0	214.9600067138672	214.9600067138672
TM-45-00-3013	DŹWIGNIA 454.420.2010 Schelling	1.0	305.55999755859375	305.55999755859375
TM-45-00-3014	DŹWIGNIA ODB. LUSTRZ. 454.420.2011 SCHELLING HF	1.0	558.6699829101562	558.6699829101562
TM-45-00-3015	DŹWIGNIA 454.420.2008 schelling HF	2.0	85.38999938964844	170.77999877929688
TM-45-00-3016	DŹWIGNIA 331.010.2502 SCHELING HF	1.0	2384.919921875	2384.919921875
TM-45-00-3967	KORBA GN 323.4-125-K12-D-DR	4.0	365.7900085449219	1463.1600341796875
TM-45-00-0848	OBUDOWA ROLKI 311.020.2412 WYSOKA Schelling	139.0	20.190000534057617	2806.409912109375
TM-45-00-0927	ROLKA D65/50 10869697/154.053.2502	196.0	15.239999771118164	2987.0400390625
TM-45-00-2695	BEDNARKA 11015990 (M)	9.0	79.58999633789062	716.280029296875
TM-45-00-2998	ROLKA D65/10 SP 50x52x73 121.036.2001 schelling	49.0	28.690000534057617	1405.81005859375
TM-45-00-3148	BEDNARKA 11015987/000005 20/2 SCHELLING	38.0	47.619998931884766	1809.6400146484375
TM-45-00-3685	OBUDOWA ROLKI 11015566/121.035.2003	5.0	35.13999938964844	175.6999969482422
TI-00-00-0126	FILC 10865385/100734	36.0	29.25	1053.1600341796875
TM-35-00-0667	KOŁO ZĘBATE Z38/M2/B16/D35 446.404.2008	2.0	521.7000122070312	1043.4000244140625
TM-45-00-3471	TRZPIEŃ RYGLA 11018761 446.382.2013	5.0	212.33999633789062	1061.719970703125
TM-45-00-3473	PROWADNICA SWORZNI 446.382.2012 11018993	1.0	849.6799926757812	849.6799926757812
TM-55-00-0379	SZTYFT MOCUJĄCY 8X50 BR2339 170013	2.0	6.730000019073486	13.460000038146973
TM-45-00-4118	KRAWĘDŹ STOŁU 11498343 121.065.2096	1.0	1401.949951171875	1401.949951171875
TM-45-00-4119	KRAWĘDŹ STOŁU 11019225 121.065.2034	5.0	960.5999755859375	4803.0
TM-45-00-4120	KRAWĘDŹ STOŁU 11498280 121.065.2031	1.0	1860.3499755859375	1860.3499755859375
TM-45-00-1300	KOŁEK STOŻKOWY 8/70 1070015 Schelling	1.0	4.809999942779541	4.809999942779541
TM-45-00-3274	SPRĘŻYNA 11014785/108436	85.0	17.290000915527344	1469.4000244140625
TM-45-00-3328	KOŁEK STOŻKOWY 8/10/40 170619 10014265 SCHELLING	4.0	4.199999809265137	16.799999237060547
TM-45-00-3657	ZACISK ŁAPY SCHELLING	8.0	100.0	800.0
TM-05-00-1749	ŁOŻYSKO ŚLIZGOWE 18x16x6 106948/11016031 Schelling	8.0	74.31999969482422	594.5599975585938
TM-45-00-3136	SWORZEŃ D 20 KÓŁKA STOŁU SCHELLING	33.0	12.0	396.0
TM-55-00-0448	ŚRUBA MOCUJĄCA 454.420.2019 Schelling Łapa	5.0	165.9199981689453	829.5999755859375
TM-45-00-0701	ROLKA D65/34 154.053.2501 10869699 SCHELLING	337.0	23.31999969482422	7859.93017578125
TM-45-00-4122	ROLKA D65 154.053.2504 11017672	213.0	19.229999542236328	4095.989990234375
TM-15-00-0670	PAS 31000x500 2RAF 21 Zszywka 62S-47-/12000-25 16 zabieraków PCV K17	1.0	2617.239990234375	2617.239990234375
TM-45-00-0145	Guma pod belkę dociskową czerwona	5.0	155.35000610351562	776.75
TM-45-00-2797	GUMA 11015628 108907 8x15x1500	8.0	297.69000244140625	2381.52001953125
TM-45-00-3149	SYLOMER 15X11 1,5MB 11015595 100759 	41.0	113.08999633789062	4636.85009765625
TM-45-00-3249	GUMA POD BELKĘ CZAR. 11015938/101313 (M)	4.5	166.4499969482422	749.010009765625
TM-45-00-3264	ELEMENT ZACISKOWY 09113300/11018750 Schelling bf	9.0	224.49000549316406	2020.4100341796875
TM-45-00-3906	PRĘT O35x2342 11991049/446.422.2010	1.0	822.8400268554688	822.8400268554688
TM-45-00-4329	PROFIL 101x130x2800 11974843 408.112.200	1.0	5523.47021484375	5523.47021484375
TE-35-00-0710	BECKHOFF KL5101 1 KANALOWY INTERFEJS ENCODERA	6.0	1043.8199462890625	6262.89990234375
TE-25-00-0644	CZUJNIK WENG UF66VCF3 S865 4-008-61-0424	4.0	1855.25	7421.0
TE-25-00-0660	CZUJNIK ZBLIŻ 10504760 BES516-3007-G-E5-	2.0	365.20001220703125	730.4000244140625
TE-35-00-0041	BECKHOFF LC8301 Moduł	1.0	1419.0	1419.0
TE-35-00-1042	BECKHOFF BK1120 MOD. BEZPIECZEŃSTWA	3.0	899.969970703125	2699.909912109375
TE-40-00-0106	WŁĄCZNIK 543861 10589024	2.0	138.86000061035156	277.7200012207031
TM-45-00-3901	ZESTAW ELEM MOC 175094 10579466	4.0	15.899999618530273	63.599998474121094
TE-25-00-0333	CZUJNIK MK5138 - MKT3020BBPKG/A/0,3M/ZH/	2.0	209.0	418.0
TE-30-00-0245	PRZEKAŹNIK BEZP. G9SE-201 OMRON Bst 507	8.0	693.0700073242188	5544.5498046875
TE-35-00-1159	LASER Z10M18B-638- LG90	2.0	1840.0	3680.0
TE-25-00-0105	CZUJNIK  R3E-5/12 SENOTEC  4-008-40-0145 POZIOMU KLEJU	2.0	720.27001953125	1440.5400390625
TE-25-00-0202	CZUJNIK 0-250 GRAD PT100 7124 104052 4-008-40-0057 	4.0	124.37999725341797	497.5
TE-25-00-0299	CZUJNIK R3EW-318 4-008-40-0144 POZIOM KLEJU 	6.0	779.1500244140625	4674.89990234375
TE-25-00-0443	CZUJNIK MSK210-0351 IMA 24VDC SN0609375 SIKO	2.0	2227.530029296875	4455.06005859375
TE-25-00-0243	CZUJNIK MSP/00-OE DECOUT	1.0	319.17999267578125	319.17999267578125
TE-25-00-0260	CZUJNIK SM-PR-2-D30-PP DATALOGIC	2.0	350.0	700.0
TE-25-00-0563	CZUJNIK XUK0ARCTL2 TELEMECANIQUE FOTOELEKTRYCZNE	6.0	544.9600219726562	3269.739990234375
TE-25-00-0623	CZUJNIK OPTYCZNY SM-PR-2-D20-NN	5.0	311.32000732421875	1556.5999755859375
TE-25-00-0430	CZUJNIK PRKL 713/4 L8.1 50081421 LEUZE kuper	15.0	650.0	9750.0
TE-25-00-0628	CZUJNIK CIŚNIENIA PMC1010FN18K	5.0	660.0	3300.0
TE-25-00-0387	CZUJNIK 0830100382 AVENTICS	2.0	150.0	300.0
TE-25-00-0580	CZUJNIK R412022872 AVENTICS POŁOŻ. TŁOKA 	20.0	120.36000061035156	2407.14990234375
TE-25-00-0610	SENSOR MSK5000-0416 4-008-61-1292 BHX	2.0	2098.22998046875	4196.4599609375
TE-25-00-0629	CZUJNIK BUS M18M1-GPXI-02/015-S92G-511	1.0	652.530029296875	652.530029296875
TE-25-00-0653	CZUJNIK ST6-R3-M08R-030 L=0,3m 10667850 R412022872	4.0	154.52999877929688	618.1199951171875
TM-45-00-4109	MOCOWANIE CB1-KHZ-012-100-ST6 10682773	4.0	15.300000190734863	61.20000076293945
TE-25-00-0391	CZUJNIK NBB8-18GM30-E2-V1 326161-0095 PEPPERL+FUCHS L10 	4.0	340.0	1360.0
TE-25-00-0396	CZUJNIK NBB4-12GM30-E3-V1 326161-0016  PEPPERL+FUCHS L10 	2.0	280.0	560.0
TE-25-00-0411	CZUJNIK 0BT 300 R103-2EP-IO-V31 PEPPERL FUSCH L10	4.0	495.0	1980.0
TE-25-00-0414	CZUJNIK OBT250-R103-2EP-I0-V31-L 267075-100322 PEPPERL+FUCHS	1.0	835.0	835.0
TE-25-00-0481	CZUJNIK SBL8H-900-IR/25/32/65b/73 223825 pepperl	3.0	970.0	2910.0
TE-35-00-0013	Moduł BECKHOFF LC5100	2.0	855.0	1710.0
TE-35-00-0235	BECKHOFF EL9100 POTENCJALNY TERMINAL ZASILAJACY 24V	4.0	69.4000015258789	277.6000061035156
TE-35-00-0301	BECKHOFF KL4002 2 KANALOWE WYJSCIE ANALOGOWE 0…10 V	2.0	646.2999877929688	1292.5999755859375
TE-35-00-0726	KARTA BECKHOFF EL9410	6.0	261.05999755859375	1566.3499755859375
TE-35-00-0778	WAGO-750-430 MODUŁ BEZPIECZEŃSTWA HEHCHT	1.0	209.60000610351562	209.60000610351562
TE-25-00-0096	CZUJNIK HD11PA3 WENGLOR	2.0	455.0	910.0
te-25-00-0280	CZUJNIK HN22PA3 WENGLOR	2.0	782.0999755859375	1564.199951171875
TE-25-00-0527	CZUJNIK ED98PC3 WENGLOR OPTYCZNY TYP BRAMKA IMA	2.0	435.0	870.0
TE-25-00-0530	CZUJNIK P1KE001 WENGLOR FOTOELKTRYCZNY ODBIORNIK TYP BRAMKA	4.0	320.0	1280.0
TE-25-00-0437	CZUJNIK  P1NL302 zamiennik LN40PA3 SENSOR REFLEKSYJNY WENGLOR (Zam za LN40PA3)	7.0	653.5999755859375	4575.2001953125
TE-25-00-0534	CZUJNIK HN70PA3/P1NH401 WENGLOR FOTOELEKTRYCZNY ODBICIOWY Z ELIMINACJĄ TŁA	1.0	1185.0	1185.0
TE-25-00-0536	CZUJNIK OPT1506 WENGLOR FOTOELKTRYCZNE PRZENOŚNIKOWE	4.0	777.9299926757812	3111.699951171875
TE-25-00-0404	CZUJNIK UF55PD3S141 WENGLOR	2.0	657.1699829101562	1314.3399658203125
TE-25-00-0540	CZUJNIK SK96/P1KS001 WENGLOR  FOTOELKTRYCZNY NADAJNIK TYP BRAMKA	3.0	245.13999938964844	735.4199829101562
TE-25-00-0604	CZUJNIK P1KE003 WENGLOR TYPU BARIERA	3.0	291.760009765625	875.280029296875
TM-45-00-4188	PRZYCISK 00072945 UNIWERSALNY CZUJNIK ODBICIOWY UF66VCF3	1.0	1373.3800048828125	1373.3800048828125
TE-25-00-0009	CZUJNIK XM98PAH2 WENGLOR	6.0	940.0	5640.0
TE-25-00-0054	CZUJNIK YO993 WENGLOR NADAJNIK	1.0	2250.0	2250.0
TE-25-00-0544	CZUJNIK YO99VD3 WENGLOR  TYPU BRAMKA ODBIORNIK	2.0	896.8499755859375	1793.699951171875
TE-45-00-0032	ŚWIATŁOWÓD 163-255-1/380 WENGLOR KABEL TYP 163 255 1/380 L=0,38 	10.0	493.2099914550781	4932.10009765625
TE-45-00-0077	ŚWIATŁOWÓD SLK2313 WENGLOR KABEL 4-008-61-1000 L10	1.0	777.9600219726562	777.9600219726562
TE-45-00-0143	ŚWIATŁOWÓD 113-232-103 WENGLOR	1.0	461.0299987792969	461.0299987792969
TE-25-00-0415	CZUJNIK  IC2CA0814T TELCO L37	4.0	80.30000305175781	321.20001220703125
TE-25-00-0545	CZUJNIK IC2MD8814T TELCO INDUKCYJNY ZBLIŻENIOWY 	2.0	198.0	396.0
TE-25-00-0282	CZUJNIK SPPR 2910T 5 TELCO L10	6.0	417.92999267578125	2507.580078125
TE-25-00-0394	CZUJNIK IPLI1214T TELCO L10	3.0	140.0	420.0
TE-25-00-0395	CZUJNIK ILCT1214T TELCO	3.0	150.0	450.0
TE-25-00-0549	CZUJNIK SMRR 8500 PR 2.5 TELCO FOTOELEKTRYCZNY	1.0	300.0	300.0
TE-25-00-0119	CZUJNIK GM-S7PN-02 TAKEX BOS022C BOS R020K-PS-RH12-02 BALLUF	6.0	482.80999755859375	2896.860107421875
TE-25-00-0393	CZUJNIK F049819 TK-E-3-EN09U-M-V-XP507 GEFRAN wemhoner	3.0	1243.0	3729.0
TE-35-00-0359	BECKHOFF EL6751 1 KANALOWY MODUL KOMUNIKACYJNY CAN	1.0	2319.159912109375	2319.159912109375
TE-35-00-0713	BECKHOFF EL7041 1 KANALOWY INTERFEJS RUCHU 48V DC, 5A, ima	1.0	1275.449951171875	1275.449951171875
TE-35-00-1033	BECKHOFF EL6731 MOD. BEZPIECZEŃSTWA	3.0	1600.6800537109375	4802.0400390625
TE-25-00-0249	CZUJNIK IE5349 IEBC003BBSKG/AS IFM	13.0	199.63999938964844	2595.320068359375
TE-25-00-0267	CZUJNIK IE5238 IEA2002-FRKG/PH IMF L37	4.0	227.2899932861328	909.1599731445312
TE-25-00-0403	CZUJNIK IE5338 IEBC003BASKG/AS IFM	11.0	198.0	2178.0
TE-25-00-0412	CZUJNIK IE5332 IE2002-FRKG/6M M8x1/L=50 ifm	5.0	276.0400085449219	1380.199951171875
TE-25-00-0480	CZUJNIK IE5287 IEB3002BBPKG/AS IFM INDUKCYJNY	6.0	161.41000366210938	968.4600219726562
TE-25-00-0659	SENSOR IE5366 M8X1 L=19/30 SN=2 4-008-61-1012	2.0	242.8300018310547	485.6600036621094
TE-25-00-0400	CZUJNIK IN5122 IN-3002-BPKG/6M IFM	3.0	290.8900146484375	872.6699829101562
TE-25-00-0438	CZUJNIK IL5021 ILA32,5 IFM INDUKCYJNY	3.0	365.0	1095.0
TE-25-00-0453	CZUJNIK IY5045 4-008-61-0350 M5X0,5 L=25 boff	5.0	447.6000061035156	2237.989990234375
TE-25-00-0164	CZUJNIK MK5138 MKT3020BBPOG/A/0,3M/ZH/AS IFM POŁOŻENIA TŁOKA	9.0	158.0	1422.0
TE-25-00-0248	CZUJNIK KG5066 KG-3120-NFPKGP2/US IFM	10.0	440.0	4400.0
TE-25-00-0508	CZUJNIK KI5085 KIA3080BFPKG/2T/US IFM POJEMNOŚCIOWY 	2.0	427.0	854.0
